Value of N is  1
**************** N START ******************
 
 
Test run  1
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

07:30:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:24 PM     all     12.50      0.00      0.00      0.38      0.00     87.12
07:31:24 PM       0      0.00      0.00      0.00      1.00      0.00     99.00
07:31:24 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
07:31:24 PM       2      0.00      0.00      0.00      1.98      0.00     98.02
07:31:24 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:24 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:24 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:24 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:24 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

07:31:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:25 PM     all     12.52      0.00      0.00      0.00      0.00     87.48
07:31:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:25 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

07:31:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:26 PM     all     12.61      0.00      0.00      0.25      0.00     87.14
07:31:26 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:26 PM       1      0.00      0.00      0.00      0.99      0.00     99.01
07:31:26 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:31:26 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:26 PM       4      0.99      0.00      0.00      0.00      0.00     99.01
07:31:26 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:26 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:26 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

07:31:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:27 PM     all     12.48      0.00      0.12      0.00      0.00     87.39
07:31:27 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:27 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

07:31:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:28 PM     all     12.52      0.00      0.00      0.13      0.00     87.36
07:31:28 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:28 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:28 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
07:31:28 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:28 PM       4      0.00      0.00      1.00      0.00      0.00     99.00
07:31:28 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:28 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:28 PM       7    100.00      0.00      0.00      0.00      0.00      0.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     12.51      0.00      0.04      0.14      0.00     87.31
Average:          0      0.00      0.00      0.00      0.30      0.00     99.70
Average:          1      0.00      0.00      0.00      0.30      0.00     99.70
Average:          2      0.00      0.00      0.10      0.30      0.00     99.60
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.10      0.00      0.30      0.10      0.00     99.50
Average:          5      0.00      0.00      0.00      0.20      0.00     99.80
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7     99.90      0.00      0.00      0.00      0.00      0.10
 
>>>>>>>>>>>>>>>>>>> iteration end >>>>>>>>>>>>>>>>>>>>>
 
 
Test run  5
<<<<<<<<<<<<<<<<<<< iteration start <<<<<<<<<<<<<<<<<<<<<<<
 
Linux 3.13.0-37-generic (perflab) 	10/07/2018 	_i686_	(8 CPU)

07:31:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:34 PM     all     12.50      0.00      0.12      0.25      0.00     87.12
07:31:34 PM       0      0.00      0.00      0.00      1.98      0.00     98.02
07:31:34 PM       1      0.00      0.00      0.99      0.00      0.00     99.01
07:31:34 PM       2     98.99      0.00      0.00      0.00      0.00      1.01
07:31:34 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
07:31:34 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:34 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:34 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
07:31:34 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:35 PM     all     12.52      0.00      0.00      0.00      0.00     87.48
07:31:35 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
07:31:35 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:35 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:35 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:35 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:35 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:35 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:35 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:36 PM     all     12.48      0.00      0.12      0.25      0.00     87.14
07:31:36 PM       0      0.00      0.00      0.00      0.99      0.00     99.01
07:31:36 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:36 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:36 PM       3      0.00      0.00      0.00      1.00      0.00     99.00
07:31:36 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:36 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:36 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:36 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:37 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:31:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:37 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:37 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:38 PM     all     12.50      0.00      0.12      0.25      0.00     87.12
07:31:38 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
07:31:38 PM       1      0.00      0.00      0.00      1.00      0.00     99.00
07:31:38 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:38 PM       3      0.00      0.00      1.00      0.00      0.00     99.00
07:31:38 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:38 PM       5      0.00      0.00      0.00      0.99      0.00     99.01
07:31:38 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:39 PM     all     12.61      0.00      0.00      0.25      0.00     87.14
07:31:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:39 PM       1      0.00      0.00      0.00      1.01      0.00     98.99
07:31:39 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:39 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:39 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:39 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:40 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:31:40 PM       0      0.00      0.00      0.99      0.00      0.00     99.01
07:31:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:40 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:40 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:41 PM     all     12.48      0.00      0.12      0.25      0.00     87.14
07:31:41 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
07:31:41 PM       1      0.00      0.00      0.00      0.99      0.00     99.01
07:31:41 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:41 PM       7      0.00      0.00      0.00      1.00      0.00     99.00

07:31:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:42 PM     all     12.50      0.00      0.00      0.00      0.00     87.50
07:31:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:42 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

07:31:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:43 PM     all     12.50      0.00      0.12      0.25      0.00     87.12
07:31:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
07:31:43 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
07:31:43 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
07:31:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
07:31:43 PM       4      0.00      0.00      0.00      1.00      0.00     99.00
07:31:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
07:31:43 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
07:31:43 PM       7      0.00      0.00      0.00      1.00      0.00     99.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     12.51      0.00      0.06      0.15      0.00     87.28
Average:          0      0.10      0.00      0.30      0.30      0.00     99.30
Average:          1      0.00      0.00      0.10      0.30      0.00     99.60
Average:          2     99.90      0.00      0.00      0.00      0.00      0.10
Average:          3      0.00      0.00      0.10      0.20      0.00     99.70
Average:          4      0.00      0.00      0.00      0.10      0.00     99.90
Average:          5      0.00      0.00      0.00      0.10      0.00     99.90
Average:          6      0.10      0.00      0.00      0.00      0.00     99.90
Average:          7      0.00      0.00      0.00      0.20      0.00     99.80
 
>>>>>>>>>>>>>>>>>>> iteration end >>>>>>>>>>>>>>>>>>>>>
 
 
***************** N END *****************
 
 
Value of N is  2
**************** N START ******************
